Packet Loss Budget;Latency Budget (μs);Jitter Budget (μs);Data R date Budget (Gbps);Required Mobility;Required Connectivity;Slice Available Transfer Rate (Gbps);Slice Latency (μs);Slice Packet Loss;Slice Jitter (μs);Slice Type;Slice Handover
1e-06;1.0;1000.0;1000.0;no;no;3666.954573132446;1605.2312044553105;0.0004235511201962;1215.5854716101248;ERLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;4513.327889155853;1342.635550778835;0.0004989734617149;2812.2291696885836;umMTC;no
1e-06;1000.0;1.0;1000.0;yes;no;7693.210953888707;1494.8686997871423;0.000642686934535;2355.664793137508;MBRLLC;yes
1e-05;1000.0;1.0;1000.0;no;yes;4062.3647181879655;2184.6745891608157;0.0004001971955557;1433.1492185326044;mURLLC;yes
1e-06;1.0;1000.0;1000.0;no;no;4724.311566379747;2538.7378852872885;0.0005370417567349;1471.6107395095462;ERLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;4631.531357863588;3436.61205353475;0.0005325030554135;1596.1239197498446;umMTC;no
1e-06;1.0;1000.0;1000.0;no;no;5613.584147384667;2384.944464821757;0.0004959016336141;1403.5384612178332;ERLLC;yes
1e-06;1000.0;1.0;1000.0;yes;no;4272.8286456038295;1214.7738163354143;0.0006438325086644;1811.2482293769149;MBRLLC;yes
1e-05;1000.0;1.0;1000.0;no;yes;5295.233870579067;2827.767697720511;0.0005070177763826;1444.138691903696;mURLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;4310.040895063068;2324.7602487299982;0.0004765377986761;1838.543840884347;umMTC;no
1e-06;1000.0;1.0;1000.0;yes;no;7191.132080769631;2019.129401975938;0.000491098052335;1123.6776193473129;MBRLLC;yes
1e-06;1000.0;1.0;1000.0;yes;no;3856.8183388807497;2711.539366854052;0.0001469896666212;1955.3190630749536;MBRLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;6629.745133839928;3578.636144312755;0.0004735221066069;2147.184350658853;umMTC;no
1e-07;0.1;1.0;1000.0;no;no;4025.371095436612;1874.006369052556;0.0003224736238303;1311.6073494355776;ERLLC;yes
1e-05;1000.0;1.0;1000.0;no;yes;3577.7317445867434;1444.6883271478787;0.0004655445726006;1526.0885502737144;mURLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;3832.628887974545;2884.953583261182;0.0004960278156689;1873.873783687147;feMBB;yes
1e-06;1000.0;1.0;1000.0;yes;no;2148.392360896582;3770.8748918077576;0.0005764349808863;2577.2378213726083;MBRLLC;yes
1e-07;0.1;1.0;1000.0;no;no;5731.424310899447;2096.5902541172877;0.0008356567052589;2758.8825306620897;ERLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;3060.7338134797465;2020.6085592822021;0.0007241603998791;1932.028572215214;feMBB;yes
1e-05;1000.0;1.0;1000.0;no;yes;4404.027107266922;2114.7453691343285;0.0004982355168568;2189.105319970382;mURLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;6269.742392398339;2299.5537803493567;0.0005931054868416;1902.6516045369044;feMBB;yes
1e-07;0.1;1.0;1000.0;no;no;6215.966240794433;1061.0192907789606;0.000433254607629;2812.221702260937;ERLLC;yes
1e-09;1000.0;1.0;1000.0;yes;no;2614.6404164905566;2203.932432935249;0.0005319381894009;3111.020908787864;MBRLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;5518.020875954908;2182.304631621586;0.000535643050488;2541.149091649157;feMBB;yes
0.0;1000.0;1.0;1000.0;no;yes;6901.1332215167085;2143.9532313577915;0.0003365906513519;2290.3852099876126;umMTC;no
1e-06;1.0;1000.0;1000.0;no;no;3939.201290168592;2111.3369883175847;0.000423195561748;2294.9201417765703;ERLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;5856.369951115048;2064.185400220124;0.0002170986429763;2088.566656585254;umMTC;no
1e-09;1000.0;1.0;1000.0;yes;no;3095.2245369434004;599.1238842231818;0.000470759242222;1492.2539422940088;MBRLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;5643.197312569444;1519.3046157609963;0.0004940126287734;1645.2887911726068;umMTC;no
1e-05;1000.0;1.0;1000.0;no;yes;5219.263723655875;2570.572612185155;0.0004878417653969;2167.987229179676;mURLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;6102.301401883116;2726.9662521191863;0.0003330870143093;1661.3339768373412;umMTC;no
1e-06;1.0;1000.0;1000.0;no;no;5998.976953800027;1718.091085699444;0.0004866941425054;1097.6342190961432;ERLLC;yes
1e-05;1000.0;1.0;1000.0;no;yes;2744.9195646830044;1362.3175446661485;0.0005270276522962;1865.9378316580894;mURLLC;yes
1e-09;1000.0;1.0;1000.0;yes;no;5228.065975700197;2477.97736532668;0.0005769327789265;928.074685126499;MBRLLC;yes
1e-06;1.0;1000.0;1000.0;no;no;7421.780588182407;2181.890828423454;0.0005447461508544;3268.339575816185;ERLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;1358.6828484995808;1918.6208320220799;0.0004478557538451;1622.3640737857536;feMBB;yes
0.0;1000.0;1.0;1000.0;no;yes;6611.882368751132;2574.5695964271704;0.0004763714183982;1981.1103677372375;umMTC;no
1e-09;1000.0;1.0;1000.0;yes;no;7669.741548531874;1214.184272100286;0.0005426409781165;2795.268899341369;MBRLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;2526.354905112078;2773.973382998885;0.0004292529260263;3642.3390977700087;feMBB;yes
1e-09;1000.0;1.0;1000.0;yes;no;3882.779997932728;998.646477185308;0.0003578290658946;1871.6036768576719;MBRLLC;yes
1e-05;1000.0;1.0;1000.0;no;yes;5863.319246030561;1449.846514330834;0.0004369462658404;1470.0552908864147;mURLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;3523.772494496568;1306.06990833466;0.0005644787125436;2430.1932190626153;feMBB;yes
0.0;1000.0;1.0;1000.0;no;yes;7274.571209544996;1611.6962339648069;0.000620263735842;1972.4911461625184;umMTC;no
1e-06;1.0;1000.0;1000.0;no;no;6765.150626882492;2204.0535400072927;0.000655344295865;1907.0939101498816;ERLLC;yes
1e-06;1000.0;1.0;1000.0;yes;no;2692.458761301393;2452.282974353549;0.000358659914766;2127.751094343272;MBRLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;3762.193676464967;1945.637766660845;0.0008208365483982;2293.3113078896786;umMTC;no
1e-05;1000.0;1.0;1000.0;no;no;6283.433063588063;1148.259367577231;0.0003821708834119;3347.9642476722233;feMBB;yes
0.0;1000.0;1.0;1000.0;no;yes;6218.143894678422;666.3402583649936;0.0004621491458816;1107.1771877244596;umMTC;no
1e-05;1000.0;1.0;1000.0;no;no;8697.530318832514;2564.248457093166;0.0006983081976165;3288.778911095925;feMBB;yes
1e-06;1000.0;1.0;1000.0;yes;no;3534.1763046184387;2481.7235869246683;0.0002222406182323;1854.8937189235307;MBRLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;7432.286529480073;2713.9161698705475;0.0005217500736146;2597.6848009315945;umMTC;no
1e-05;1000.0;1.0;1000.0;no;no;3477.462411051511;1911.7010639482955;0.000451994577682;2101.243217232937;feMBB;yes
1e-07;0.1;1.0;1000.0;no;no;5834.28483393771;2445.4371351810846;0.0002674867709984;2014.877554235222;ERLLC;yes
1e-07;0.1;1.0;1000.0;no;no;6487.5886788588805;1573.6367663595036;0.0002699588531915;2129.952618192558;ERLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;11.165495238089534;2320.395601496415;0.0006870287578937;1471.484910818705;umMTC;no
1e-07;0.1;1.0;1000.0;no;no;6519.0252957549565;1680.2152858376032;0.0005860150163293;3069.67809892614;ERLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;7307.885390133802;1457.1656649883637;0.0006580561782844;2375.199359338929;feMBB;yes
1e-05;1000.0;1.0;1000.0;no;no;6826.786942163992;2154.66527860312;0.0003266980113682;2256.075903205493;feMBB;yes
0.0;1000.0;1.0;1000.0;no;yes;8422.389126994449;2119.8472657718266;0.0005479624384621;1793.7195621691087;umMTC;no
1e-06;1000.0;1.0;1000.0;yes;no;6608.967942962567;2607.741323399938;0.0008762534738541;1076.945687668189;MBRLLC;yes
1e-06;1.0;1000.0;1000.0;no;no;4105.247698596035;1143.6238914468352;0.0004604866145186;2453.6130332890434;ERLLC;yes
1e-09;1000.0;1.0;1000.0;yes;no;7065.31205550306;2618.0770511513606;0.0005083975858583;2492.277115516252;MBRLLC;yes
1e-06;1000.0;1.0;1000.0;yes;no;4010.6551934544;2086.595258546697;0.0005018534120817;2396.440061080501;MBRLLC;yes
1e-05;1000.0;1.0;1000.0;no;yes;5137.849471922473;2711.9731398308013;0.000481776440976;2060.9774261731677;mURLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;6386.66682512316;2705.0905370551804;0.0003700968526646;1851.5782372222302;feMBB;yes
1e-05;1000.0;1.0;1000.0;no;yes;5747.226693440492;377.6413901765966;0.0005073058611053;2824.327355249798;mURLLC;yes
1e-06;1000.0;1.0;1000.0;yes;no;7252.161464418297;2699.089092167234;0.0007712855310221;2314.749535390816;MBRLLC;yes
1e-09;1000.0;1.0;1000.0;yes;no;9147.876380615307;2728.7131577663213;0.0004916003863411;2188.1832013213384;MBRLLC;yes
1e-09;1000.0;1.0;1000.0;yes;no;3105.0829907379925;1161.1246863989136;0.000703506195909;1024.0445119798312;MBRLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;4453.327858003656;958.7478028983328;0.0009760312384358;777.9284109469896;feMBB;yes
1e-09;1000.0;1.0;1000.0;yes;no;5527.744541210089;2516.4830008630724;0.0003643966978357;3549.809571595634;MBRLLC;yes
1e-06;1.0;1000.0;1000.0;no;no;4228.592292979316;2075.741306214759;0.0005900459676407;2551.8473632419045;ERLLC;yes
1e-09;1000.0;1.0;1000.0;yes;no;4874.335503548252;1571.721305482679;0.0003059434487821;2864.49168873476;MBRLLC;yes
1e-06;1000.0;1.0;1000.0;yes;no;6293.403373857402;2959.1889200316687;0.0004765559553434;920.66994636251;MBRLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;6071.906734222717;2201.694105613031;0.0009158368267854;2662.00559046807;feMBB;yes
1e-06;1000.0;1.0;1000.0;yes;no;5412.679995054756;609.3870424082423;0.0006078259621773;1810.616264620646;MBRLLC;yes
1e-06;1000.0;1.0;1000.0;yes;no;5246.6928836898405;1321.6101488448303;0.0005510675356544;2074.2515061822705;MBRLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;4627.420420866389;2694.89214954547;0.0003028774415673;2360.23750615123;umMTC;no
1e-05;1000.0;1.0;1000.0;no;no;7341.137311939622;2023.8671058931063;0.0003991658808144;2119.9622142463386;feMBB;yes
1e-06;1000.0;1.0;1000.0;yes;no;7772.537496182231;1520.1782646274962;0.0003607517378539;2116.073490794989;MBRLLC;yes
0.0;1000.0;1.0;1000.0;no;yes;6698.353537013516;2301.657239427105;0.0003283736518724;1412.2433297528576;umMTC;no
0.0;1000.0;1.0;1000.0;no;yes;3085.063916321387;1594.8659888608302;0.0006381343393888;2407.9268785666227;umMTC;no
1e-05;1000.0;1.0;1000.0;no;no;4563.526318347553;1168.602018962771;0.0006149667132042;1405.8604816720383;feMBB;yes
1e-05;1000.0;1.0;1000.0;no;yes;5333.243321961512;2677.8078122187985;0.0004725285934709;1449.7306818812642;mURLLC;yes
1e-06;1.0;1000.0;1000.0;no;no;3432.832569217596;2778.3544488657835;0.0004089302744128;2069.15091074564;ERLLC;yes
1e-09;1000.0;1.0;1000.0;yes;no;5132.292993930759;2320.7571219233623;0.0006210388278326;1159.055835711053;MBRLLC;yes
1e-06;1.0;1000.0;1000.0;no;no;5037.532617258316;976.9322005332152;0.0007807558717327;2783.7086702150077;ERLLC;yes
1e-09;1000.0;1.0;1000.0;yes;no;6807.21626794962;3233.450617600536;0.0006652246588894;2787.42795505728;MBRLLC;yes
1e-06;1000.0;1.0;1000.0;yes;no;4170.09898227556;3210.6921082356826;0.0005182263118669;1716.3770394615992;MBRLLC;yes
1e-05;1000.0;1.0;1000.0;no;no;6939.144263308113;2848.69761070416;0.0006536831460987;1832.7531635199018;feMBB;yes
1e-05;1000.0;1.0;1000.0;no;no;3405.046167723717;2202.5019894728744;0.0006613567255037;2023.744147625733;feMBB;yes
