Packet Loss Budget,Latency Budget (μs),Jitter Budget (μs),Data Rate Budget (Gbps),Required Mobility,Required Connectivity,Slice Available Transfer Rate (Gbps),Slice Latency (μs),Slice Packet Loss,Slice Jitter (μs),Slice Type,Slice Handover,Latency_Gap,Packet_Loss_Gap,Jitter_Gap,SLA_Respected
1e-06,1.0,1000.0,1000.0,0,0,3666.954573132446,1605.2312044553105,0.0004235511201962,1215.5854716101248,0,1,-1604.2312044553105,-0.0004225511201961,-215.58547161012484,0
0.0,1000.0,1.0,1000.0,0,1,4513.327889155853,1342.635550778835,0.0004989734617149,2812.229169688584,4,0,-342.63555077883507,-0.0004989734617149,-2811.229169688584,0
1e-06,1000.0,1.0,1000.0,1,0,7693.210953888707,1494.8686997871423,0.000642686934535,2355.664793137508,1,1,-494.8686997871423,-0.000641686934535,-2354.664793137508,0
1e-05,1000.0,1.0,1000.0,0,1,1408.797931070175,661.6344371010479,4.296294250543618e-06,0.5442477032866629,3,1,338.36556289895213,5.703705749456383e-06,0.455752296713337,1
1e-06,1.0,1000.0,1000.0,0,0,4724.311566379747,2538.7378852872885,0.0005370417567349,1471.6107395095462,0,1,-2537.7378852872885,-0.0005360417567349,-471.6107395095462,0
0.0,1000.0,1.0,1000.0,0,1,4631.531357863588,3436.61205353475,0.0005325030554135,1596.1239197498446,4,0,-2436.61205353475,-0.0005325030554135,-1595.1239197498446,0
1e-06,1.0,1000.0,1000.0,0,0,5613.584147384667,2384.944464821757,0.0004959016336141,1403.5384612178332,0,1,-2383.944464821757,-0.0004949016336141,-403.5384612178332,0
1e-06,1000.0,1.0,1000.0,1,0,4272.8286456038295,1214.7738163354145,0.0006438325086644,1811.2482293769149,1,1,-214.7738163354145,-0.0006428325086644,-1810.2482293769149,0
1e-05,1000.0,1.0,1000.0,0,1,1452.7767925473438,501.516709718847,4.20691891380971e-06,0.3058159915525625,3,1,498.483290281153,5.793081086190291e-06,0.6941840084474376,1
0.0,1000.0,1.0,1000.0,0,1,4310.040895063068,2324.7602487299982,0.0004765377986761,1838.543840884347,4,0,-1324.7602487299982,-0.0004765377986761,-1837.543840884347,0
1e-06,1000.0,1.0,1000.0,1,0,1130.3678487582142,518.1824810136885,8.217722363970266e-07,0.2934982620764077,1,1,481.8175189863115,1.782277636029734e-07,0.7065017379235923,1
1e-06,1000.0,1.0,1000.0,1,0,1353.1553961435925,701.2724177164185,6.388800584294946e-07,0.7422883553104934,1,1,298.72758228358146,3.611199415705053e-07,0.2577116446895066,1
0.0,1000.0,1.0,1000.0,0,1,6629.745133839928,3578.636144312755,0.0004735221066069,2147.184350658853,4,0,-2578.636144312755,-0.0004735221066069,-2146.184350658853,0
1e-07,0.1,1.0,1000.0,0,0,4025.371095436612,1874.006369052556,0.0003224736238303,1311.6073494355776,0,1,-1873.906369052556,-0.0003223736238303,-1310.6073494355776,0
1e-05,1000.0,1.0,1000.0,0,1,3577.7317445867434,1444.688327147879,0.0004655445726006,1526.0885502737144,3,1,-444.6883271478789,-0.0004555445726005,-1525.0885502737144,0
1e-05,1000.0,1.0,1000.0,0,0,3832.628887974545,2884.953583261182,0.0004960278156689,1873.873783687147,2,1,-1884.9535832611816,-0.0004860278156688,-1872.873783687147,0
1e-06,1000.0,1.0,1000.0,1,0,1087.1312511422086,723.750106346222,8.125959048316707e-07,0.2012360362318579,1,1,276.24989365377803,1.874040951683293e-07,0.7987639637681421,1
1e-07,0.1,1.0,1000.0,0,0,5731.424310899447,2096.590254117288,0.0008356567052589,2758.8825306620897,0,1,-2096.4902541172883,-0.0008355567052589,-2757.8825306620897,0
1e-05,1000.0,1.0,1000.0,0,0,3060.7338134797465,2020.608559282202,0.0007241603998791,1932.028572215214,2,1,-1020.608559282202,-0.0007141603998791,-1931.028572215214,0
