Packet Loss Budget;Latency Budget (μs);Jitter Budget (μs);Data Rate Budget (Gbps);Required Mobility;Required Connectivity;Slice Available Transfer Rate (Gbps);Slice Latency (μs);Slice Packet Loss;Slice Jitter (μs);Slice Type;Slice Handover;Latency_Gap;Packet_Loss_Gap;Jitter_Gap;Rate_Gap;SLA_Respected
1e-06;1.0;1000.0;1000.0;0;0;3666.954573132446;1605.2312044553105;0.0004235511201962;1215.5854716101248;0;1;-1604.2312044553105;-0.00042255112019619996;-215.58547161012484;2666.954573132446;0
0.0;1000.0;1.0;1000.0;0;1;4513.327889155853;1342.635550778835;0.0004989734617149;2812.229169688584;4;0;-342.63555077883507;-0.0004989734617149;-2811.229169688584;3513.327889155853;0
1e-06;1000.0;1.0;1000.0;1;0;7693.210953888707;1494.8686997871423;0.000642686934535;2355.664793137508;1;1;-494.8686997871423;-0.000641686934535;-2354.664793137508;6693.210953888707;0
1e-05;1000.0;1.0;1000.0;0;1;4062.3647181879655;2184.674589160816;0.0004001971955557;1433.1492185326044;3;1;-1184.6745891608161;-0.00039019719555569995;-1432.1492185326044;3062.3647181879655;0
1e-06;1.0;1000.0;1000.0;0;0;4724.311566379747;2538.7378852872885;0.0005370417567349;1471.6107395095462;0;1;-2537.7378852872885;-0.0005360417567349;-471.6107395095462;3724.311566379747;0
0.0;1000.0;1.0;1000.0;0;1;4631.531357863588;3436.61205353475;0.0005325030554135;1596.1239197498446;4;0;-2436.61205353475;-0.0005325030554135;-1595.1239197498446;3631.531357863588;0
1e-06;1.0;1000.0;1000.0;0;0;5613.584147384667;2384.944464821757;0.0004959016336141;1403.5384612178332;0;1;-2383.944464821757;-0.0004949016336141;-403.5384612178332;4613.584147384667;0
1e-06;1000.0;1.0;1000.0;1;0;4272.8286456038295;1214.7738163354145;0.0006438325086644;1811.2482293769149;1;1;-214.7738163354145;-0.0006428325086644;-1810.2482293769149;3272.8286456038295;0
1e-05;1000.0;1.0;1000.0;0;1;1009.192344246117;677.6173255777516;4.587778593158281e-06;0.743088583318149;3;1;322.38267442224844;5.41222140684172e-06;0.256911416681851;9.192344246117045;1
0.0;1000.0;1.0;1000.0;0;1;4310.040895063068;2324.7602487299982;0.0004765377986761;1838.543840884347;4;0;-1324.7602487299982;-0.0004765377986761;-1837.543840884347;3310.040895063068;0
1e-06;1000.0;1.0;1000.0;1;0;7191.132080769631;2019.129401975938;0.000491098052335;1123.6776193473129;1;1;-1019.129401975938;-0.000490098052335;-1122.6776193473129;6191.132080769631;0
1e-06;1000.0;1.0;1000.0;1;0;3856.8183388807497;2711.539366854052;0.0001469896666212;1955.3190630749536;1;1;-1711.5393668540519;-0.00014598966662120001;-1954.3190630749536;2856.8183388807497;0
0.0;1000.0;1.0;1000.0;0;1;1207.2385332347403;928.755401445355;0.0;0.20499600400741677;4;0;71.244598554645;0.0;0.7950039959925832;207.23853323474032;1
1e-07;0.1;1.0;1000.0;0;0;4025.371095436612;1874.006369052556;0.0003224736238303;1311.6073494355776;0;1;-1873.906369052556;-0.0003223736238303;-1310.6073494355776;3025.371095436612;0
1e-05;1000.0;1.0;1000.0;0;1;3577.7317445867434;1444.688327147879;0.0004655445726006;1526.0885502737144;3;1;-444.6883271478789;-0.00045554457260059997;-1525.0885502737144;2577.7317445867434;0
